Дата_и_время,Цена
2024-06-01 00:00:00,1243.47
2024-06-01 01:00:00,1149.16
2024-06-01 02:00:00,1027.49
2024-06-01 03:00:00,908.5
2024-06-01 04:00:00,722.23
2024-06-01 05:00:00,724.47
2024-06-01 06:00:00,1062.53
2024-06-01 07:00:00,1239.38
2024-06-01 08:00:00,1513.58
2024-06-01 09:00:00,1762.04
2024-06-01 10:00:00,1837.83
2024-06-01 11:00:00,1827.39
2024-06-01 12:00:00,1789.83
2024-06-01 13:00:00,1796.89
2024-06-01 14:00:00,1806.11
2024-06-01 15:00:00,1846.94
2024-06-01 16:00:00,1848.11
2024-06-01 17:00:00,1904.83
2024-06-01 18:00:00,1823.38
2024-06-01 19:00:00,1790.59
2024-06-01 20:00:00,1858.48
2024-06-01 21:00:00,1791.35
2024-06-01 22:00:00,1503.76
2024-06-01 23:00:00,1372.51
2024-06-02 00:00:00,1216.76
2024-06-02 01:00:00,1011.47
2024-06-02 02:00:00,820.69
2024-06-02 03:00:00,685.09
2024-06-02 04:00:00,591.91
2024-06-02 05:00:00,625.09
2024-06-02 06:00:00,709.73
2024-06-02 07:00:00,1193.39
2024-06-02 08:00:00,1370.11
2024-06-02 09:00:00,1708.4
2024-06-02 10:00:00,1868.18
2024-06-02 11:00:00,1951.71
2024-06-02 12:00:00,1936.02
2024-06-02 13:00:00,1947.47
2024-06-02 14:00:00,1962.56
2024-06-02 15:00:00,1982.6
2024-06-02 16:00:00,1955.08
2024-06-02 17:00:00,1958.42
2024-06-02 18:00:00,1953.72
2024-06-02 19:00:00,1888.05
2024-06-02 20:00:00,1882.2
2024-06-02 21:00:00,1880.32
2024-06-02 22:00:00,1826.54
2024-06-02 23:00:00,1373.81
