Дата_и_время,Цена
2024-05-01 00:00:00,1266.51
2024-05-01 01:00:00,1297.87
2024-05-01 02:00:00,1107.81
2024-05-01 03:00:00,1141.58
2024-05-01 04:00:00,1040.74
2024-05-01 05:00:00,1005.66
2024-05-01 06:00:00,1073.28
2024-05-01 07:00:00,1237.42
2024-05-01 08:00:00,1332.71
2024-05-01 09:00:00,1557.08
2024-05-01 10:00:00,1699.33
2024-05-01 11:00:00,1627.3
2024-05-01 12:00:00,1605.39
2024-05-01 13:00:00,1636.38
2024-05-01 14:00:00,1591.35
2024-05-01 15:00:00,1543.65
2024-05-01 16:00:00,1519.54
2024-05-01 17:00:00,1528.55
2024-05-01 18:00:00,1615.35
2024-05-01 19:00:00,1734.86
2024-05-01 20:00:00,1849.62
2024-05-01 21:00:00,1765.89
2024-05-01 22:00:00,1447.77
2024-05-01 23:00:00,1266.49
2024-05-02 00:00:00,1249.6
2024-05-02 01:00:00,1147.27
2024-05-02 02:00:00,1120.21
2024-05-02 03:00:00,1061.12
2024-05-02 04:00:00,1093.11
2024-05-02 05:00:00,1139.9
2024-05-02 06:00:00,1272.36
2024-05-02 07:00:00,1501.11
2024-05-02 08:00:00,1826.16
2024-05-02 09:00:00,1898.54
2024-05-02 10:00:00,1893.23
2024-05-02 11:00:00,1864.15
2024-05-02 12:00:00,1887.61
2024-05-02 13:00:00,1926.31
2024-05-02 14:00:00,1941.51
2024-05-02 15:00:00,1886.13
2024-05-02 16:00:00,1887.55
2024-05-02 17:00:00,1841.29
2024-05-02 18:00:00,1838.23
2024-05-02 19:00:00,1889.54
2024-05-02 20:00:00,1967.71
2024-05-02 21:00:00,1824.14
2024-05-02 22:00:00,1475.77
2024-05-02 23:00:00,1297.35
2024-05-03 00:00:00,1162.63
2024-05-03 01:00:00,1099.73
2024-05-03 02:00:00,1004.21
2024-05-03 03:00:00,1003.75
2024-05-03 04:00:00,1048.8
2024-05-03 05:00:00,1146.55
2024-05-03 06:00:00,1322.51
2024-05-03 07:00:00,1584.12
2024-05-03 08:00:00,1775.68
2024-05-03 09:00:00,1876.66
2024-05-03 10:00:00,1899.78
2024-05-03 11:00:00,1891.95
2024-05-03 12:00:00,1886.36
2024-05-03 13:00:00,1901.22
2024-05-03 14:00:00,1872.78
2024-05-03 15:00:00,1869.11
2024-05-03 16:00:00,1870.5
2024-05-03 17:00:00,1849.44
2024-05-03 18:00:00,1812.99
2024-05-03 19:00:00,1827.69
2024-05-03 20:00:00,1925.25
2024-05-03 21:00:00,1835.4
2024-05-03 22:00:00,1528.52
2024-05-03 23:00:00,1309.76
2024-05-04 00:00:00,1411.9
2024-05-04 01:00:00,1350.71
2024-05-04 02:00:00,1246.54
2024-05-04 03:00:00,1148.56
2024-05-04 04:00:00,1147.69
2024-05-04 05:00:00,1141.12
2024-05-04 06:00:00,1309.1
2024-05-04 07:00:00,1530.89
2024-05-04 08:00:00,1838.96
2024-05-04 09:00:00,2013.11
2024-05-04 10:00:00,2036.74
2024-05-04 11:00:00,2018.11
2024-05-04 12:00:00,2018.22
2024-05-04 13:00:00,2018.43
2024-05-04 14:00:00,2006.17
2024-05-04 15:00:00,1773.9
2024-05-04 16:00:00,1773.13
2024-05-04 17:00:00,1679.85
2024-05-04 18:00:00,1723.58
2024-05-04 19:00:00,1811.5
2024-05-04 20:00:00,1909.33
2024-05-04 21:00:00,1819.13
2024-05-04 22:00:00,1483.13
2024-05-04 23:00:00,1373.21
2024-05-05 00:00:00,1306.96
2024-05-05 01:00:00,1127.58
2024-05-05 02:00:00,1103.87
2024-05-05 03:00:00,1073.3
2024-05-05 04:00:00,1056.33
2024-05-05 05:00:00,1118.48
2024-05-05 06:00:00,1005.77
2024-05-05 07:00:00,1136.8
2024-05-05 08:00:00,1398.57
2024-05-05 09:00:00,1561.92
2024-05-05 10:00:00,1608.89
2024-05-05 11:00:00,1634.05
2024-05-05 12:00:00,1585.19
2024-05-05 13:00:00,1583.12
2024-05-05 14:00:00,1577.49
2024-05-05 15:00:00,1478.8
2024-05-05 16:00:00,1468.58
2024-05-05 17:00:00,1477.49
2024-05-05 18:00:00,1543.73
2024-05-05 19:00:00,1725.73
2024-05-05 20:00:00,1862.5
2024-05-05 21:00:00,1804.19
2024-05-05 22:00:00,1451.02
2024-05-05 23:00:00,1367.62
2024-05-06 00:00:00,1170.81
2024-05-06 01:00:00,1081.13
2024-05-06 02:00:00,1001.73
2024-05-06 03:00:00,996.51
2024-05-06 04:00:00,1003.02
2024-05-06 05:00:00,1138.2
2024-05-06 06:00:00,1304.78
2024-05-06 07:00:00,1579.4
2024-05-06 08:00:00,1882.49
2024-05-06 09:00:00,2465.4
2024-05-06 10:00:00,2460.91
2024-05-06 11:00:00,1951.41
2024-05-06 12:00:00,1944.66
2024-05-06 13:00:00,1952.15
2024-05-06 14:00:00,1947.55
2024-05-06 15:00:00,1945.44
2024-05-06 16:00:00,1932.09
2024-05-06 17:00:00,1908.12
2024-05-06 18:00:00,1885.87
2024-05-06 19:00:00,1913.23
2024-05-06 20:00:00,1956.04
2024-05-06 21:00:00,1882.77
2024-05-06 22:00:00,1544.67
2024-05-06 23:00:00,1359.71
2024-05-07 00:00:00,1402.55
2024-05-07 01:00:00,1211.94
2024-05-07 02:00:00,1149.6
2024-05-07 03:00:00,1135.77
2024-05-07 04:00:00,1119.63
2024-05-07 05:00:00,1179.73
2024-05-07 06:00:00,1336.84
2024-05-07 07:00:00,1566.92
2024-05-07 08:00:00,1802.66
2024-05-07 09:00:00,1926.94
2024-05-07 10:00:00,1979.66
2024-05-07 11:00:00,2005.48
2024-05-07 12:00:00,2041.64
2024-05-07 13:00:00,2058.98
2024-05-07 14:00:00,2008.9
2024-05-07 15:00:00,1973.13
2024-05-07 16:00:00,1941.7
2024-05-07 17:00:00,1877.44
2024-05-07 18:00:00,1901.63
2024-05-07 19:00:00,1925.71
2024-05-07 20:00:00,1995.57
2024-05-07 21:00:00,1823.83
2024-05-07 22:00:00,1632.36
2024-05-07 23:00:00,1495.44
2024-05-08 00:00:00,1436.14
2024-05-08 01:00:00,1273.35
2024-05-08 02:00:00,1163.49
2024-05-08 03:00:00,1153.54
2024-05-08 04:00:00,1198.57
2024-05-08 05:00:00,1289.38
2024-05-08 06:00:00,1294.71
2024-05-08 07:00:00,1527.33
2024-05-08 08:00:00,1823.21
2024-05-08 09:00:00,1994.73
2024-05-08 10:00:00,2036.63
2024-05-08 11:00:00,2056.41
2024-05-08 12:00:00,1979.72
2024-05-08 13:00:00,1977.77
2024-05-08 14:00:00,1847.73
2024-05-08 15:00:00,1838.68
2024-05-08 16:00:00,1775.12
2024-05-08 17:00:00,1802.9
2024-05-08 18:00:00,1785.76
2024-05-08 19:00:00,1816.83
2024-05-08 20:00:00,1897.58
2024-05-08 21:00:00,1866.46
2024-05-08 22:00:00,1773.57
2024-05-08 23:00:00,1488.27
2024-05-09 00:00:00,1266.67
2024-05-09 01:00:00,1148.13
2024-05-09 02:00:00,1117.09
2024-05-09 03:00:00,1094.96
2024-05-09 04:00:00,1089.76
2024-05-09 05:00:00,1100.47
2024-05-09 06:00:00,1070.55
2024-05-09 07:00:00,1137.99
2024-05-09 08:00:00,1361.34
2024-05-09 09:00:00,1562.07
2024-05-09 10:00:00,1593.69
2024-05-09 11:00:00,1591.31
2024-05-09 12:00:00,1590.55
2024-05-09 13:00:00,1588.06
2024-05-09 14:00:00,1590.52
2024-05-09 15:00:00,1595.36
2024-05-09 16:00:00,1598.55
2024-05-09 17:00:00,1612.13
2024-05-09 18:00:00,1626.34
2024-05-09 19:00:00,1659.87
2024-05-09 20:00:00,1762.51
2024-05-09 21:00:00,1632.75
2024-05-09 22:00:00,1464.49
2024-05-09 23:00:00,1278.96
2024-05-10 00:00:00,1266.08
2024-05-10 01:00:00,1146.32
2024-05-10 02:00:00,1087.95
2024-05-10 03:00:00,1080.06
2024-05-10 04:00:00,1077.96
2024-05-10 05:00:00,1084.09
2024-05-10 06:00:00,1085.71
2024-05-10 07:00:00,1163.57
2024-05-10 08:00:00,1415.15
2024-05-10 09:00:00,1598.15
2024-05-10 10:00:00,1637.46
2024-05-10 11:00:00,1631.06
2024-05-10 12:00:00,1609.28
2024-05-10 13:00:00,1612.38
2024-05-10 14:00:00,1606.83
2024-05-10 15:00:00,1601.56
2024-05-10 16:00:00,1597.82
2024-05-10 17:00:00,1612.35
2024-05-10 18:00:00,1623.73
2024-05-10 19:00:00,1648.34
2024-05-10 20:00:00,1744.17
2024-05-10 21:00:00,1643.59
2024-05-10 22:00:00,1512.53
2024-05-10 23:00:00,1306.89
2024-05-11 00:00:00,1313.86
2024-05-11 01:00:00,1179.25
2024-05-11 02:00:00,1143.09
2024-05-11 03:00:00,1130.64
2024-05-11 04:00:00,1111.37
2024-05-11 05:00:00,1111.36
2024-05-11 06:00:00,1112.16
2024-05-11 07:00:00,1243.88
2024-05-11 08:00:00,1441.05
2024-05-11 09:00:00,1763.67
2024-05-11 10:00:00,1791.83
2024-05-11 11:00:00,1784.69
2024-05-11 12:00:00,1755.27
2024-05-11 13:00:00,1755.54
2024-05-11 14:00:00,1747.78
2024-05-11 15:00:00,1751.05
2024-05-11 16:00:00,1731.47
2024-05-11 17:00:00,1733.07
2024-05-11 18:00:00,1753.59
2024-05-11 19:00:00,1786.68
2024-05-11 20:00:00,1881.1
2024-05-11 21:00:00,1828.4
2024-05-11 22:00:00,1691.08
2024-05-11 23:00:00,1391.41
2024-05-12 00:00:00,1372.38
2024-05-12 01:00:00,1234.75
2024-05-12 02:00:00,1145.3
2024-05-12 03:00:00,1107.91
2024-05-12 04:00:00,1092.07
2024-05-12 05:00:00,1099.26
2024-05-12 06:00:00,1046.59
2024-05-12 07:00:00,1145.53
2024-05-12 08:00:00,1365.88
2024-05-12 09:00:00,1518.67
2024-05-12 10:00:00,1591.05
2024-05-12 11:00:00,1612.16
2024-05-12 12:00:00,1612.66
2024-05-12 13:00:00,1612.48
2024-05-12 14:00:00,1615.97
2024-05-12 15:00:00,1616.03
2024-05-12 16:00:00,1627.91
2024-05-12 17:00:00,1625.06
2024-05-12 18:00:00,1636.72
2024-05-12 19:00:00,1677.13
2024-05-12 20:00:00,1703.39
2024-05-12 21:00:00,1676.14
2024-05-12 22:00:00,1481.91
2024-05-12 23:00:00,1284.89
2024-05-13 00:00:00,1290.9
2024-05-13 01:00:00,1166.37
2024-05-13 02:00:00,1118.89
2024-05-13 03:00:00,1112.83
2024-05-13 04:00:00,1102.68
2024-05-13 05:00:00,1160.72
2024-05-13 06:00:00,1352.15
2024-05-13 07:00:00,1609.67
2024-05-13 08:00:00,1902.84
2024-05-13 09:00:00,2218.55
2024-05-13 10:00:00,2396.46
2024-05-13 11:00:00,2002.13
2024-05-13 12:00:00,1990.79
2024-05-13 13:00:00,2008.52
2024-05-13 14:00:00,1979.76
2024-05-13 15:00:00,1924.42
2024-05-13 16:00:00,1903.65
2024-05-13 17:00:00,1856.66
2024-05-13 18:00:00,1846.06
2024-05-13 19:00:00,1885.95
2024-05-13 20:00:00,1952.68
2024-05-13 21:00:00,1843.75
2024-05-13 22:00:00,1500.09
2024-05-13 23:00:00,1304.73
2024-05-14 00:00:00,1228.45
2024-05-14 01:00:00,1142.22
2024-05-14 02:00:00,1106.33
2024-05-14 03:00:00,1100.92
2024-05-14 04:00:00,1110.36
2024-05-14 05:00:00,1151.89
2024-05-14 06:00:00,1335.34
2024-05-14 07:00:00,1461.33
2024-05-14 08:00:00,1760.55
2024-05-14 09:00:00,1905.85
2024-05-14 10:00:00,1933.98
2024-05-14 11:00:00,1914.28
2024-05-14 12:00:00,1908.57
2024-05-14 13:00:00,1919.4
2024-05-14 14:00:00,1907.59
2024-05-14 15:00:00,1889.47
2024-05-14 16:00:00,1862.67
2024-05-14 17:00:00,1854.21
2024-05-14 18:00:00,1839.41
2024-05-14 19:00:00,1769.28
2024-05-14 20:00:00,1873.59
2024-05-14 21:00:00,1883.16
2024-05-14 22:00:00,1558.45
2024-05-14 23:00:00,1401.02
2024-05-15 00:00:00,1314.56
2024-05-15 01:00:00,1185.91
2024-05-15 02:00:00,1178.13
2024-05-15 03:00:00,1174.2
2024-05-15 04:00:00,1183.13
2024-05-15 05:00:00,1200.43
2024-05-15 06:00:00,1440.72
2024-05-15 07:00:00,1711.22
2024-05-15 08:00:00,1967.49
2024-05-15 09:00:00,2118.66
2024-05-15 10:00:00,2135.54
2024-05-15 11:00:00,2096.23
2024-05-15 12:00:00,2094.0
2024-05-15 13:00:00,2127.28
2024-05-15 14:00:00,2099.32
2024-05-15 15:00:00,2085.93
2024-05-15 16:00:00,2061.95
2024-05-15 17:00:00,2009.67
2024-05-15 18:00:00,1978.3
2024-05-15 19:00:00,1899.24
2024-05-15 20:00:00,1980.25
2024-05-15 21:00:00,1994.95
2024-05-15 22:00:00,1611.55
2024-05-15 23:00:00,1450.21
2024-05-16 00:00:00,1260.35
2024-05-16 01:00:00,1166.1
2024-05-16 02:00:00,1138.28
2024-05-16 03:00:00,1137.61
2024-05-16 04:00:00,1156.35
2024-05-16 05:00:00,1197.01
2024-05-16 06:00:00,1370.25
2024-05-16 07:00:00,1653.18
2024-05-16 08:00:00,1929.35
2024-05-16 09:00:00,2060.71
2024-05-16 10:00:00,2079.27
2024-05-16 11:00:00,2105.21
2024-05-16 12:00:00,2076.97
2024-05-16 13:00:00,2096.91
2024-05-16 14:00:00,2099.96
2024-05-16 15:00:00,2002.5
2024-05-16 16:00:00,1942.31
2024-05-16 17:00:00,1923.02
2024-05-16 18:00:00,1886.68
2024-05-16 19:00:00,1864.73
2024-05-16 20:00:00,1948.93
2024-05-16 21:00:00,1950.74
2024-05-16 22:00:00,1621.0
2024-05-16 23:00:00,1368.75
2024-05-17 00:00:00,1314.85
2024-05-17 01:00:00,1179.94
2024-05-17 02:00:00,1143.86
2024-05-17 03:00:00,1086.1
2024-05-17 04:00:00,1153.16
2024-05-17 05:00:00,1253.51
2024-05-17 06:00:00,1435.73
2024-05-17 07:00:00,1715.96
2024-05-17 08:00:00,2049.32
2024-05-17 09:00:00,2137.96
2024-05-17 10:00:00,2161.12
2024-05-17 11:00:00,2151.37
2024-05-17 12:00:00,2198.6
2024-05-17 13:00:00,2231.59
2024-05-17 14:00:00,2207.51
2024-05-17 15:00:00,2223.76
2024-05-17 16:00:00,2133.26
2024-05-17 17:00:00,2115.0
2024-05-17 18:00:00,2082.88
2024-05-17 19:00:00,2057.97
2024-05-17 20:00:00,2093.09
2024-05-17 21:00:00,2158.1
2024-05-17 22:00:00,2006.43
2024-05-17 23:00:00,1572.8
2024-05-18 00:00:00,1498.15
2024-05-18 01:00:00,1436.37
2024-05-18 02:00:00,1285.38
2024-05-18 03:00:00,1235.64
2024-05-18 04:00:00,1194.37
2024-05-18 05:00:00,1211.83
2024-05-18 06:00:00,1297.32
2024-05-18 07:00:00,1504.31
2024-05-18 08:00:00,1814.83
2024-05-18 09:00:00,1990.18
2024-05-18 10:00:00,2063.47
2024-05-18 11:00:00,2061.25
